ID,A2,A3,A1,Notes,Dataset
1,1.0,8.0,3.0,looks good,A
2,3.0,7.0,7.0,not sure,A
3,7.0,8.0,7.0,double check,B
4,,8.0,,looks good,B
5,5.0,10.0,2.0,looks good,"A, B"
6,3.0,10.0,2.0,looks good,"A, B"
7,10.0,6.0,10.0,looks good,"A, B"
8,9.0,3.0,6.0,looks good,A
9,10.0,1.0,6.0,looks good,A
10,7.0,,6.0,looks good,B
11,2.0,4.0,7.0,double check,A
12,,6.0,,double check,A
13,,1.0,,double check,B
14,,1.0,,looks good,B
15,3.0,5.0,10.0,looks good,B
16,2.0,6.0,8.0,looks good,A
17,3.0,,5.0,looks good,A
18,2.0,,5.0,looks good,B
19,10.0,2.0,2.0,looks good,"A, B"
20,5.0,8.0,1.0,not sure,"A, B"
21,8.0,,3.0,not sure,A
22,4.0,6.0,,not sure,"A, B"
